Original Path
Q[6]{-1.37683, -1.86256, -0.429506, -3.77854, 0.280081, 3.23026}
Q[6]{-1.38232, -1.86671, -0.434383, -3.77014, 0.259824, 3.18612}
Q[6]{-1.38781, -1.87087, -0.439261, -3.76174, 0.239566, 3.14198}
Q[6]{-1.3933, -1.87502, -0.444139, -3.75335, 0.219309, 3.09785}
Q[6]{-1.39878, -1.87917, -0.449016, -3.74495, 0.199051, 3.05371}
Q[6]{-1.40427, -1.88332, -0.453894, -3.73655, 0.178794, 3.00958}
Q[6]{-1.40976, -1.88748, -0.458771, -3.72815, 0.158536, 2.96544}
Q[6]{-1.41525, -1.89163, -0.463649, -3.71975, 0.138279, 2.92131}
Q[6]{-1.42074, -1.89578, -0.468527, -3.71136, 0.118022, 2.87717}
Q[6]{-1.42622, -1.89993, -0.473404, -3.70296, 0.0977641, 2.83304}
Q[6]{-1.43171, -1.90409, -0.478282, -3.69456, 0.0775067, 2.7889}
Q[6]{-1.4372, -1.90824, -0.483159, -3.68616, 0.0572492, 2.74476}
Q[6]{-1.44269, -1.91239, -0.488037, -3.67776, 0.0369918, 2.70063}
Q[6]{-1.44818, -1.91654, -0.492915, -3.66937, 0.0167344, 2.65649}
Q[6]{-1.45366, -1.9207, -0.497792, -3.66097, -0.00352308, 2.61236}
Q[6]{-1.45915, -1.92485, -0.50267, -3.65257, -0.0237805, 2.56822}
Q[6]{-1.46464, -1.929, -0.507547, -3.64417, -0.044038, 2.52409}
Q[6]{-1.47013, -1.93315, -0.512425, -3.63577, -0.0642954, 2.47995}
Q[6]{-1.47562, -1.93731, -0.517303, -3.62737, -0.0845529, 2.43581}
Q[6]{-1.4811, -1.94146, -0.52218, -3.61898, -0.10481, 2.39168}
Q[6]{-1.48659, -1.94561, -0.527058, -3.61058, -0.125068, 2.34754}
Q[6]{-1.49208, -1.94977, -0.531935, -3.60218, -0.145325, 2.30341}
Q[6]{-1.49757, -1.95392, -0.536813, -3.59378, -0.165583, 2.25927}
Q[6]{-1.50306, -1.95807, -0.54169, -3.58538, -0.18584, 2.21514}
Q[6]{-1.50854, -1.96222, -0.546568, -3.57699, -0.206098, 2.171}
Q[6]{-1.51403, -1.96638, -0.551446, -3.56859, -0.226355, 2.12686}
Q[6]{-1.51952, -1.97053, -0.556323, -3.56019, -0.246612, 2.08273}
